Name,Release Year,Poster,IMdbId,Streaming,Rent,Buy
Soundtrack to a Coup d'État,2024,https://images.justwatch.com/poster/321440878/s718/soundtrack-to-a-coup-detat.jpg,tt14452174,['Kino Film Collection'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($9.99)', 'Zavvi ($25.99)']"
Sugarcane,2024,https://images.justwatch.com/poster/320969872/s718/sugarcane.jpg,tt30319854,"['Disney Plus', 'fuboTV', 'YouTube TV']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']",[]
"I Am Ready, Warden",2024,https://images.justwatch.com/poster/322388549/s718/i-am-ready-warden.jpg,tt31556921,"['Paramount+ Amazon Channel', 'Paramount+ Roku Premium Channel', 'Paramount Plus Essential', 'Paramount Plus Premium']",[],[]
Instruments of a Beating Heart,2024,https://images.justwatch.com/poster/324707767/s718/instruments-of-a-beating-heart.jpg,tt32280470,[],[],[]
The Only Girl in the Orchestra,2023,https://images.justwatch.com/poster/321932321/s718/the-only-girl-in-the-orchestra.jpg,tt29497240,"['Netflix', 'Netflix Standard with Ads']",[],[]
The Girl with the Needle,2024,https://images.justwatch.com/poster/322761063/s718/the-girl-with-the-needle.jpg,tt10236164,"['MUBI', 'MUBI Amazon Channel']","['Fandango At Home ($4.99)', 'Amazon Video ($5.99)', 'Apple TV Store ($5.99)']",[]
Dane-ye anjir-e ma'abed,2024,https://images.justwatch.com/poster/319883095/s718/the-seed-of-the-sacred-fig.jpg,tt32178949,['Hulu'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($17.98)']"
A Different Man,2024,https://images.justwatch.com/poster/321602862/s718/a-different-man.jpg,tt21097228,"['HBO Max', 'HBO Max Amazon Channel', 'Cinemax Amazon Channel', 'Cinemax Apple TV Channel']","['Spectrum On Demand ($3.99)', 'Amazon Video ($4.99)', 'Fandango At Home ($4.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($7.99)', 'YouTube ($7.99)']",['Barnes & Noble ($29.99)']
The Six Triple Eight,2024,https://images.justwatch.com/poster/323065580/s718/six-triple-eight.jpg,tt24458622,"['Netflix', 'Netflix Standard with Ads']",[],[]
Elton John: Never Too Late,2024,https://images.justwatch.com/poster/321254501/s718/elton-john-never-too-late.jpg,tt20316978,['Disney Plus'],[],[]
Nickel Boys,2024,https://images.justwatch.com/poster/320258042/s718/nickel-boys.jpg,tt23055660,"['Amazon Prime Video', 'fuboTV', 'MGM+ Amazon Channel', 'MGM Plus Roku Premium Channel', 'MGM Plus', 'Philo', 'Amazon Prime Video with Ads']","['Amazon Video ($5.99)', 'Fandango At Home ($5.99)', 'Plex ($5.99)', 'Apple TV Store ($6.99)', 'Google Play Movies ($6.99)', 'YouTube ($6.99)']",[]
Anuja,2024,https://images.justwatch.com/poster/324553554/s718/anuja.jpg,tt27654431,"['Netflix', 'Netflix Standard with Ads']",[],[]
Alien: Romulus,2024,https://images.justwatch.com/poster/324639095/s718/alien-romulus.jpg,tt18412256,"['Amazon Prime Video', 'Amazon Prime Video with Ads']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($26.99)']"
Better Man,2024,https://images.justwatch.com/poster/323010999/s718/better-man.jpg,tt14260836,"['Amazon Prime Video', 'fuboTV', 'MGM+ Amazon Channel', 'Paramount+ Amazon Channel', 'MGM Plus Roku Premium Channel', 'MGM Plus', 'Philo', 'Amazon Prime Video with Ads', 'Paramount Plus Essential', 'Paramount Plus Premium']","['Amazon Video ($5.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($5.99)', 'YouTube ($5.99)', 'Fandango At Home ($5.99)', 'Plex ($5.99)']",['Amazon DVD / Blu-ray ($None)']
Kingdom of the Planet of the Apes,2024,https://images.justwatch.com/poster/314299423/s718/kingdom-of-the-planet-of-the-apes.jpg,tt11389872,['Hulu'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($26.99)']"
September 5,2024,,tt28082769,"['Amazon Prime Video', 'fuboTV', 'MGM+ Amazon Channel', 'Paramount+ Amazon Channel', 'Paramount+ Roku Premium Channel', 'Philo', 'Amazon Prime Video with Ads', 'Paramount Plus Essential', 'Paramount Plus Premium']","['Amazon Video ($5.99)', 'Apple TV Store ($5.99)', 'Google Play Movies ($5.99)', 'YouTube ($5.99)', 'Fandango At Home ($5.99)', 'Plex ($5.99)']","['Barnes & Noble ($20.29)', 'Zavvi ($22.99)']"
