Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination,YearStart
97,2024,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,fake_nomid025,Emilia Pérez,tt20221436,Zoe Saldaña,Zoe Saldaña,nm0757855,True,Rita,,,,2024
97,2024,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,fake_nomid096,Flow,tt4772188,"Gints Zilbalodis, Matiss Kaža, Ron Dyens and Gregory Zalcman","Gints Zilbalodis, Matiss Kaža, Ron Dyens, Gregory Zalcman","nm6478535,nm5186633,nm1054433,nm3537684",True,,,,,2024
97,2024,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,fake_nomid097,Inside Out 2,tt22022452,Kelsey Mann and Mark Nielsen,"Kelsey Mann, Mark Nielsen","nm1626375,nm0630923",,,,,,2024
97,2024,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,fake_nomid099,Memoir of a Snail,tt23770030,Adam Elliot and Liz Kearney,"Adam Elliot, Liz Kearney","nm0254178,nm2782306",,,,,,2024
97,2024,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,fake_nomid098,Wallace & Gromit: Vengeance Most Fowl,tt17163970,"Nick Park, Merlin Crossingham and Richard Beek","Nick Park, Merlin Crossingham, Richard Beek","nm0661910,nm1271549,nm1485380",,,,,,2024
97,2024,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,fake_nomid095,The Wild Robot,tt29623480,Chris Sanders and Jeff Hermann,"Chris Sanders, Jeff Hermann","nm0761498,nm1915863",,,,,,2024
97,2024,Title,SHORT FILM (Animated),ANIMATED SHORT FILM,fake_nomid100,Beautiful Men,tt30835281,Nicolas Keppens and Brecht Van Elslande,"Nicolas Keppens, Brecht Van Elslande","nm9479994,nm8653244",,,,,,2024
97,2024,Title,SHORT FILM (Animated),ANIMATED SHORT FILM,fake_nomid101,In the Shadow of the Cypress,tt28768883,Shirin Sohani and Hossein Molayemi,"Shirin Sohani, Hossein Molayemi","nm11580481,nm5548859",True,,,,,2024
97,2024,Title,SHORT FILM (Animated),ANIMATED SHORT FILM,fake_nomid102,Magic Candies,tt31888603,Daisuke Nishio and Takashi Washio,"Daisuke Nishio, Takashi Washio","nm0632788,nm2911605",,,,,,2024
97,2024,Title,SHORT FILM (Animated),ANIMATED SHORT FILM,fake_nomid103,Wander to Wonder,tt28768679,Nina Gantz and Stienette Bosklopper,"Nina Gantz, Stienette Bosklopper","nm2441981,nm0097975",,,,,,2024
97,2024,Title,SHORT FILM (Animated),ANIMATED SHORT FILM,fake_nomid104,Yuck!,tt28356173,Loïc Espuche and Juliette Marquet,"Loïc Espuche, Juliette Marquet","nm7167768,nm9489851",,,,,,2024
97,2024,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,fake_nomid045,The Brutalist,tt8999762,Lol Crawley,Lol Crawley,nm0187018,True,,,,,2024
97,2024,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,fake_nomid047,Dune: Part Two,tt15239678,Greig Fraser,Greig Fraser,nm0292132,,,,,,2024
97,2024,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,fake_nomid049,Emilia Pérez,tt20221436,Paul Guilhaume,Paul Guilhaume,nm5243556,,,,,,2024
97,2024,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,fake_nomid048,Maria,tt22893404,Ed Lachman,Ed Lachman,nm0005767,,,,,,2024
97,2024,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,fake_nomid046,Nosferatu,tt5040012,Jarin Blaschke,Jarin Blaschke,nm1144916,,,,,,2024
97,2024,Production,COSTUME DESIGN,COSTUME DESIGN,fake_nomid062,A Complete Unknown,tt11563598,Arianne Phillips,Arianne Phillips,nm0680218,,,,,,2024
97,2024,Production,COSTUME DESIGN,COSTUME DESIGN,fake_nomid063,Conclave,tt20215234,Lisy Christl,Lisy Christl,nm0160425,,,,,,2024
